      8 Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-9L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-9L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-8L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-8L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-7L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-7L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-6L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-6L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-5L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-5L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-4L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-4L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-3L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-3L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-2L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-2L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-1L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-1L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
      1 WILL08 (Kirchner-JWilliams),Images,WILL08-KIRC08-1B-12L-1_W.BMP,.BMP,WILL08 (Kirchner-JWilliams)/Images/,WILL08 (Kirchner-JWilliams)/Images/WILL08-KIRC08-1B-12L-1_W.BMP,http://opencoredata.org/voc/csdco/v1/Image,10.70
