Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
NAPALM (Walker),Exclude,Supplies.xlsx,.xlsx,NAPALM (Walker)/Data/,NAPALM (Walker)/Data/Supplies.xlsx,,5.26
NAPALM (Walker),Exclude,NAPALM_XYZ.csv,.csv,NAPALM (Walker)/Geotek Data/high-resolution MS data/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ.csv,,5.26
NAPALM (Walker),Exclude,NAPALM_XYZ.xlsx,.xlsx,NAPALM (Walker)/Geotek Data/high-resolution MS data/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ.xlsx,,5.26
NAPALM (Walker),Exclude,NAPALM_XYZ_20140115_part1.bk,.bk,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140115_part1/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140115_part1/NAPALM_XYZ_20140115_part1.bk,,5.30
NAPALM (Walker),Exclude,NAPALM_XYZ_20140115_part1.csv,.csv,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140115_part1/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140115_part1/NAPALM_XYZ_20140115_part1.csv,,5.28
NAPALM (Walker),Exclude,NAPALM_XYZ_20140115_part1.xml,.xml,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140115_part1/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140115_part1/NAPALM_XYZ_20140115_part1.xml,,5.30
NAPALM (Walker),Exclude,NAPALM_XYZ_20140116_part2.bk,.bk,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140116_part2/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140116_part2/NAPALM_XYZ_20140116_part2.bk,,5.30
NAPALM (Walker),Exclude,NAPALM_XYZ_20140116_part2.csv,.csv,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140116_part2/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140116_part2/NAPALM_XYZ_20140116_part2.csv,,5.28
NAPALM (Walker),Exclude,NAPALM_XYZ_20140116_part2.xml,.xml,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140116_part2/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140116_part2/NAPALM_XYZ_20140116_part2.xml,,5.30
NAPALM (Walker),Exclude,NAPALM_XYZ_20140117_part3.bk,.bk,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140117_part3/,NAPALM (Walker)/Geotek Data/high-resolution MS data/NAPALM_XYZ_20140117_part3/NAPALM_XYZ_20140117_part3.bk,,5.29
