Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
WILL08 (Kirchner-JWilliams),Exclude,WILL08_hrms_20080820.csv,.csv,WILL08 (Kirchner-JWilliams)/Geotek Data/high-resolution MS data/WILL08_hrms_20080820/,WILL08 (Kirchner-JWilliams)/Geotek Data/high-resolution MS data/WILL08_hrms_20080820/WILL08_hrms_20080820.csv,,10.70
WILL08 (Kirchner-JWilliams),Exclude,WILL08_hrms_20080820.xls,.xls,WILL08 (Kirchner-JWilliams)/Geotek Data/high-resolution MS data/WILL08_hrms_20080820/,WILL08 (Kirchner-JWilliams)/Geotek Data/high-resolution MS data/WILL08_hrms_20080820/WILL08_hrms_20080820.xls,,10.70
WILL08 (Kirchner-JWilliams),Exclude,WILL08_hrms_20080820.xml,.xml,WILL08 (Kirchner-JWilliams)/Geotek Data/high-resolution MS data/WILL08_hrms_20080820/,WILL08 (Kirchner-JWilliams)/Geotek Data/high-resolution MS data/WILL08_hrms_20080820/WILL08_hrms_20080820.xml,,10.71
WILL08 (Kirchner-JWilliams),ICD,WILL08-KIRC08-1A-10L-1.pdf,.pdf,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-10L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,10.70
WILL08 (Kirchner-JWilliams),Exclude,WILL08-KIRC08-1A-10L-1_W.jpg,.jpg,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-10L-1_W.jpg,,10.70
WILL08 (Kirchner-JWilliams),ICD,WILL08-KIRC08-1A-11L-1.pdf,.pdf,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-11L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,10.70
WILL08 (Kirchner-JWilliams),Exclude,WILL08-KIRC08-1A-11L-1_W.jpg,.jpg,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-11L-1_W.jpg,,10.70
WILL08 (Kirchner-JWilliams),ICD,WILL08-KIRC08-1A-12L-1.pdf,.pdf,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-12L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,10.70
WILL08 (Kirchner-JWilliams),Exclude,WILL08-KIRC08-1A-12L-1_W.jpg,.jpg,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-12L-1_W.jpg,,10.70
WILL08 (Kirchner-JWilliams),ICD,WILL08-KIRC08-1A-13L-1.pdf,.pdf,WILL08 (Kirchner-JWilliams)/ICD/,WILL08 (Kirchner-JWilliams)/ICD/WILL08-KIRC08-1A-13L-1.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,10.70
